iter	RMSE
0	14.07220712
1	13.84797013
2	13.61114038
3	13.3957621
4	13.18703888
5	12.98603669
6	12.81318878
7	12.65101729
8	12.48649567
9	12.27797059
10	12.06847261
11	11.90139579
12	11.73213058
13	11.59439097
14	11.4430147
15	11.28712498
16	11.1169034
17	10.97224775
18	10.80973755
19	10.66236971
20	10.5276335
21	10.41533903
22	10.28818255
23	10.15777349
24	10.0117837
25	9.89922084
26	9.779683836
27	9.66808767
28	9.550251965
29	9.438299283
30	9.34525722
31	9.220439864
32	9.118283908
33	9.006843706
34	8.900302053
35	8.799196839
36	8.700088318
37	8.61125344
38	8.510921835
39	8.420811565
40	8.342719169
41	8.271143704
42	8.187708591
43	8.125337692
44	8.059019577
45	7.975492531
46	7.899549183
47	7.825214247
48	7.757492935
49	7.695340206
50	7.630548619
51	7.565600048
52	7.500230752
53	7.456458863
54	7.388374773
55	7.325492466
56	7.269920474
57	7.209433153
58	7.154545942
59	7.093006608
60	7.036786037
61	6.985620038
62	6.928326426
63	6.883633963
64	6.827784089
65	6.773481812
66	6.726812597
67	6.676994647
68	6.634874774
69	6.587227668
70	6.549323623
71	6.519551561
72	6.480218962
73	6.432850262
74	6.392720243
75	6.370152474
76	6.329469635
77	6.301310685
78	6.269179911
79	6.233338317
80	6.203925035
81	6.16623485
82	6.132294614
83	6.096642561
84	6.06807863
85	6.031180721
86	6.005337413
87	5.970160195
88	5.940907825
89	5.912205158
90	5.884003753
91	5.863489886
92	5.834693186
93	5.806015263
94	5.78246916
95	5.750510646
96	5.723971873
97	5.697779658
98	5.676899905
99	5.653784273
100	5.624148378
101	5.600205313
102	5.572023665
103	5.544103783
104	5.516050237
105	5.494715083
106	5.47199135
107	5.451513176
108	5.431357379
109	5.412663428
110	5.391368419
111	5.368138714
112	5.352622852
113	5.336406671
114	5.319718898
115	5.307087658
116	5.294439683
117	5.273466712
118	5.256952939
119	5.239284501
120	5.222998883
121	5.206422394
122	5.190754075
123	5.175102663
124	5.16023485
125	5.144963259
126	5.131164916
127	5.115831189
128	5.101094577
129	5.088730812
130	5.069762808
131	5.054414233
132	5.046403376
133	5.029988376
134	5.015898209
135	4.997889562
136	4.985939914
137	4.976287545
138	4.963343685
139	4.948169132
140	4.936805427
141	4.921413763
142	4.905649545
143	4.890910665
144	4.877744067
145	4.86571402
146	4.849846429
147	4.840195167
148	4.829328425
149	4.817619455
150	4.807220762
151	4.796163263
152	4.787358632
153	4.775328
154	4.762119948
155	4.75158267
156	4.741521377
157	4.72930547
158	4.710638036
159	4.698576829
160	4.688265251
161	4.675894316
162	4.657422657
163	4.645872691
164	4.633536912
165	4.62106121
166	4.611324542
167	4.601313942
168	4.590815083
169	4.581758092
170	4.572936618
171	4.561183409
172	4.550954709
173	4.543747652
174	4.533581302
175	4.522672252
176	4.512729817
177	4.49954943
178	4.489415389
179	4.478712966
180	4.459634589
181	4.453376341
182	4.44592309
183	4.433373334
184	4.427297341
185	4.420230624
186	4.416247389
187	4.410234353
188	4.402367179
189	4.396159119
190	4.388469092
191	4.384395779
192	4.370143574
193	4.362269249
194	4.354686872
195	4.344325631
196	4.333016753
197	4.323802012
198	4.309222666
199	4.298076884
200	4.29147173
201	4.285858225
202	4.279301648
203	4.273549238
204	4.260460569
205	4.255232202
206	4.243041178
207	4.236542135
208	4.224077736
209	4.216380552
210	4.205388384
211	4.194516358
212	4.188322414
213	4.178602576
214	4.173903948
215	4.164621639
216	4.158524606
217	4.150735033
218	4.145659175
219	4.139475309
220	4.131953151
221	4.125873229
222	4.114653553
223	4.107278207
224	4.101364173
225	4.094934377
226	4.089018861
227	4.078600128
228	4.074179234
229	4.064331964
