iter	Passed	Remaining
0	61	61154
1	61	30756
2	61	20577
3	62	15491
4	62	12435
5	62	10401
6	63	9039
7	64	7939
8	64	7079
9	64	6390
10	64	5825
11	65	5356
12	65	4961
13	65	4625
14	66	4339
15	66	4084
16	66	3859
17	67	3660
18	67	3478
19	67	3314
20	67	3168
21	68	3033
22	68	2909
23	68	2799
24	69	2696
25	70	2630
26	70	2539
27	70	2455
28	70	2377
29	71	2306
30	71	2241
31	72	2181
32	72	2122
33	73	2075
34	73	2022
35	73	1971
36	73	1925
37	74	1879
38	74	1836
39	74	1796
40	75	1760
41	75	1724
42	76	1694
43	76	1656
44	76	1624
45	76	1593
46	77	1564
47	77	1535
48	77	1508
49	78	1482
50	78	1457
51	78	1432
52	78	1407
53	79	1386
54	79	1366
55	79	1346
56	80	1324
57	80	1309
58	81	1292
59	81	1275
60	81	1259
61	82	1242
62	82	1225
63	82	1208
64	82	1193
65	83	1179
66	83	1164
67	83	1148
68	84	1134
69	84	1120
70	84	1107
71	84	1093
72	85	1081
73	85	1069
74	85	1058
75	86	1049
76	86	1039
77	87	1032
78	87	1021
79	87	1010
80	88	998
81	88	989
82	88	978
83	88	967
84	89	958
85	89	950
86	89	941
87	89	932
88	90	926
89	90	917
90	91	909
91	91	901
92	91	894
93	91	886
94	92	879
95	92	871
96	92	863
97	92	855
98	93	848
99	93	841
100	93	834
101	93	827
102	94	820
103	94	813
104	94	806
105	94	800
106	95	794
107	95	787
108	95	781
109	95	774
110	95	768
111	96	762
112	96	756
113	96	751
114	96	745
115	97	739
116	97	733
117	97	728
118	97	722
119	97	717
120	98	712
121	98	706
122	98	701
123	98	696
124	98	691
125	99	686
126	99	682
127	99	677
128	99	672
129	99	668
130	100	663
131	100	659
132	100	655
133	100	651
134	100	646
135	101	642
136	101	638
137	101	634
138	101	630
139	102	626
140	102	622
141	102	618
142	102	615
143	102	611
144	103	607
145	103	604
146	103	600
147	103	596
148	103	593
149	104	589
150	104	586
151	104	583
152	104	579
153	104	576
154	105	573
155	105	570
156	105	566
157	105	563
158	106	560
159	106	557
160	106	554
161	106	551
162	106	548
163	107	545
164	107	542
165	107	540
166	107	537
167	107	534
168	108	531
169	108	528
170	108	526
171	108	523
172	108	520
173	109	518
174	109	515
175	109	513
176	109	510
177	110	508
178	110	505
179	110	503
180	110	500
181	110	498
182	111	496
183	111	493
184	111	491
185	111	489
186	111	486
187	112	484
188	112	482
189	112	479
190	112	477
191	113	475
192	113	473
193	113	471
194	113	469
195	113	466
196	114	464
197	114	462
198	114	460
199	114	458
200	114	456
201	115	454
202	115	452
203	115	450
204	115	448
205	115	446
206	116	444
207	116	443
208	116	441
209	116	439
210	117	437
211	117	435
212	117	433
213	117	432
214	117	430
215	118	428
216	118	426
217	118	425
218	118	423
219	118	421
220	119	419
221	119	418
222	119	416
223	119	414
224	119	413
225	120	411
226	120	409
227	120	408
228	120	406
229	121	405
230	121	403
231	121	401
232	121	400
233	121	398
234	122	397
235	122	395
236	122	394
237	122	392
238	122	391
239	123	389
240	123	388
241	123	386
242	123	385
243	123	383
244	124	382
245	124	381
246	124	379
247	124	378
248	124	376
249	125	375
250	125	374
251	125	372
252	125	371
253	126	370
254	126	368
255	126	367
256	126	366
257	126	364
258	127	363
259	127	362
260	127	361
261	127	359
262	127	358
263	128	357
264	128	356
265	128	354
266	128	353
267	128	352
268	129	351
269	129	349
270	129	348
271	129	347
272	130	346
273	130	345
274	130	343
275	130	342
276	130	341
277	131	340
278	131	339
279	131	338
280	131	337
281	131	335
282	132	334
283	132	333
284	132	332
285	132	331
286	132	330
287	133	329
288	133	328
289	133	327
290	133	325
291	134	324
292	134	323
293	134	322
294	134	321
295	134	320
296	135	319
297	135	318
298	135	317
299	135	316
300	135	315
301	136	314
302	136	313
303	136	312
304	136	311
305	137	310
306	137	310
307	137	309
308	137	308
309	137	307
310	138	306
311	138	305
312	138	304
313	138	303
314	139	302
315	139	301
316	139	300
317	139	299
318	139	298
319	140	297
320	140	296
321	140	295
322	140	294
323	140	294
324	141	293
325	141	292
326	141	291
327	141	290
328	142	289
329	142	288
330	142	288
331	142	287
332	142	286
333	143	285
334	143	284
335	143	283
336	143	282
337	143	281
338	144	281
339	144	280
340	144	279
341	144	278
342	144	277
343	145	276
344	145	276
345	145	275
346	145	274
347	146	273
348	146	272
349	146	271
350	146	271
351	146	270
352	147	269
353	147	268
354	147	267
355	147	267
356	147	266
357	148	265
358	148	264
359	148	264
360	148	263
361	148	262
362	149	261
363	149	260
364	149	260
365	149	259
366	150	258
367	150	257
368	150	257
369	150	256
370	150	255
371	151	255
372	151	254
373	151	253
374	151	252
375	151	252
376	152	251
377	152	250
378	152	249
379	152	249
380	152	248
381	153	247
382	153	247
383	153	246
384	153	245
385	153	244
386	154	244
387	154	243
388	154	242
389	154	242
390	155	241
391	155	240
392	155	240
393	155	239
394	155	238
395	156	238
396	156	237
397	156	236
398	156	236
399	156	235
400	157	234
401	157	234
402	157	233
403	157	232
404	157	232
405	158	231
406	158	230
407	158	230
408	158	229
409	159	228
410	159	228
411	159	227
412	159	226
413	159	226
414	160	225
415	160	224
416	160	224
417	160	223
