iter	Passed	Remaining
0	57	57357
1	57	28916
2	58	19397
3	58	14653
4	59	11810
5	59	9911
6	60	8559
7	60	7526
8	61	6724
9	61	6082
10	61	5571
11	62	5132
12	62	4768
13	63	4452
14	63	4189
15	64	3951
16	64	3738
17	65	3548
18	65	3379
19	65	3224
20	66	3085
21	66	2957
22	66	2840
23	67	2738
24	67	2643
25	68	2558
26	68	2475
27	69	2400
28	69	2330
29	70	2274
30	70	2213
31	71	2153
32	71	2096
33	71	2045
34	72	1996
35	72	1951
36	73	1907
37	73	1864
38	73	1822
39	74	1783
40	74	1748
41	75	1719
42	75	1686
43	76	1653
44	76	1621
45	76	1594
46	77	1568
47	77	1543
48	78	1519
49	79	1503
50	79	1478
51	79	1453
52	80	1430
53	80	1407
54	80	1385
55	80	1364
56	81	1343
57	81	1323
58	81	1304
59	82	1285
60	82	1267
61	82	1250
62	83	1235
63	83	1219
64	83	1203
65	83	1188
66	84	1174
67	84	1161
68	85	1148
69	85	1134
70	85	1121
71	85	1108
72	86	1095
73	86	1082
74	86	1070
75	87	1059
76	87	1047
77	87	1036
78	88	1025
79	88	1015
80	88	1005
81	88	995
82	89	983
83	89	973
84	89	964
85	89	955
86	90	946
87	90	937
88	90	928
89	91	920
90	91	911
91	91	903
92	91	895
93	92	888
94	92	881
95	92	873
96	93	866
97	93	858
98	93	851
99	93	844
100	94	837
101	94	830
102	94	823
103	94	817
104	95	810
105	95	804
106	95	798
107	95	792
108	96	786
109	96	780
110	96	774
111	96	769
112	97	763
113	97	757
114	97	752
115	98	746
116	98	741
117	98	736
118	98	731
119	99	726
120	99	720
121	99	715
122	99	711
123	100	706
124	100	702
125	100	697
126	100	692
127	101	688
128	101	684
129	101	680
130	101	676
131	102	672
132	102	667
133	102	664
134	103	660
135	103	656
136	103	652
137	103	649
138	104	645
139	104	641
140	104	638
141	104	634
142	105	630
143	105	627
144	105	623
145	106	620
146	106	616
147	106	613
148	106	610
149	107	607
150	107	604
151	107	600
152	107	597
153	108	594
154	108	591
155	108	588
156	109	585
157	109	582
158	109	579
159	109	577
160	110	573
161	110	570
162	110	567
163	110	565
164	111	562
165	111	559
166	111	557
167	111	554
168	112	551
169	112	549
170	112	546
171	113	544
172	113	541
173	113	539
174	113	536
175	114	534
176	114	532
177	114	529
178	115	527
179	115	525
180	115	522
181	115	520
182	116	518
183	116	516
184	116	513
185	116	511
186	117	509
187	117	507
188	117	504
189	117	502
190	118	500
191	118	498
192	118	496
193	119	494
194	119	492
195	119	490
196	119	488
197	120	486
198	120	484
199	120	482
200	120	480
201	121	478
202	121	476
203	121	474
204	122	473
205	122	471
206	122	469
207	122	467
208	123	465
209	123	463
210	123	461
211	123	460
212	124	458
213	124	456
214	124	454
215	124	452
216	125	451
217	125	449
218	125	447
219	125	446
220	126	444
221	126	442
222	126	441
223	126	439
224	127	438
225	127	436
226	127	435
227	128	433
228	128	432
229	128	430
230	128	428
231	129	427
232	129	425
233	129	424
234	129	422
235	130	421
236	130	419
237	130	418
238	130	416
239	131	415
240	131	413
241	131	412
242	131	411
243	132	409
244	132	408
245	132	406
246	133	405
247	133	404
248	133	402
249	133	401
250	134	400
251	134	398
252	134	397
253	134	396
254	135	394
255	135	393
256	135	392
257	136	391
258	136	390
259	136	388
260	136	387
261	137	386
262	137	385
263	137	383
264	137	382
265	138	381
266	138	380
267	138	378
268	139	377
269	139	376
270	139	375
271	139	374
272	140	372
273	140	371
274	140	370
275	140	369
276	141	368
277	141	367
278	141	365
279	141	364
280	142	363
281	142	362
282	142	361
283	142	360
284	143	359
285	143	357
286	143	356
287	143	355
288	144	354
289	144	353
290	144	352
291	145	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	146	344
299	147	343
300	147	342
301	147	341
302	148	340
